run_name,epoch,lr,dropout,weight_decay,train_acc,val_acc,overfitting_gap,use_focal_loss,timestamp,subdir,lr_extracted,dropout_extracted,weight_decay_extracted,focal_extracted
lr5e-6_dr0.4_wd5e-4,20,5e-06,0.4,0.0005,61.59,65.44,-3.85,0,2025-08-12 18:13:23,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,20,5e-06,0.3,0.002,62.58,65.5,-2.92,0,2025-08-12 18:13:26,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,20,5e-06,0.4,0.0005,57.54,62.07,-4.52,1,2025-08-12 18:13:28,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,20,5e-06,0.3,0.002,58.09,64.18,-6.09,1,2025-08-12 18:13:34,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,11,5e-06,0.3,0.001,58.35,62.53,-4.18,1,2025-08-12 18:13:34,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd5e-4,11,5e-06,0.3,0.0005,62.38,65.31,-2.93,0,2025-08-12 18:14:07,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,11,5e-06,0.3,0.0005,58.09,61.64,-3.56,1,2025-08-12 18:14:10,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,11,5e-06,0.3,0.001,62.14,64.91,-2.77,0,2025-08-12 18:14:18,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,21,5e-06,0.4,0.0005,61.68,65.19,-3.52,0,2025-08-12 18:15:20,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,21,5e-06,0.4,0.0005,58.1,63.48,-5.38,1,2025-08-12 18:15:24,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,21,5e-06,0.3,0.002,62.5,66.28,-3.78,0,2025-08-12 18:15:25,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,21,5e-06,0.3,0.002,58.98,64.79,-5.81,1,2025-08-12 18:15:29,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,12,5e-06,0.3,0.001,58.7,63.24,-4.53,1,2025-08-12 18:17:13,.,5e-06,0.3,0.001,True
lr5e-6_dr0.4_wd5e-4,22,5e-06,0.4,0.0005,61.67,64.33,-2.65,0,2025-08-12 18:17:15,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,22,5e-06,0.4,0.0005,57.91,62.45,-4.54,1,2025-08-12 18:17:21,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,22,5e-06,0.3,0.002,62.31,63.5,-1.19,0,2025-08-12 18:17:23,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,22,5e-06,0.3,0.002,58.8,63.86,-5.06,1,2025-08-12 18:17:27,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd5e-4,12,5e-06,0.3,0.0005,61.97,65.29,-3.33,0,2025-08-12 18:17:48,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,12,5e-06,0.3,0.0005,58.05,62.69,-4.65,1,2025-08-12 18:17:49,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,12,5e-06,0.3,0.001,61.97,65.48,-3.51,0,2025-08-12 18:18:00,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,23,5e-06,0.4,0.0005,62.04,65.98,-3.94,0,2025-08-12 18:19:12,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,23,5e-06,0.4,0.0005,58.19,61.82,-3.63,1,2025-08-12 18:19:18,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,23,5e-06,0.3,0.002,62.73,66.34,-3.61,0,2025-08-12 18:19:20,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,23,5e-06,0.3,0.002,59.34,64.08,-4.75,1,2025-08-12 18:19:26,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,13,5e-06,0.3,0.001,59.24,63.76,-4.52,1,2025-08-12 18:20:52,.,5e-06,0.3,0.001,True
lr5e-6_dr0.4_wd5e-4,24,5e-06,0.4,0.0005,62.59,66.14,-3.55,0,2025-08-12 18:21:08,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,24,5e-06,0.4,0.0005,58.2,63.2,-5.0,1,2025-08-12 18:21:12,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,24,5e-06,0.3,0.002,63.27,66.83,-3.56,0,2025-08-12 18:21:16,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,24,5e-06,0.3,0.002,59.0,65.01,-6.01,1,2025-08-12 18:21:22,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd5e-4,13,5e-06,0.3,0.0005,62.49,65.48,-2.99,0,2025-08-12 18:21:29,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,13,5e-06,0.3,0.0005,58.35,62.43,-4.08,1,2025-08-12 18:21:31,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,13,5e-06,0.3,0.001,62.41,65.25,-2.84,0,2025-08-12 18:21:41,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,25,5e-06,0.4,0.0005,63.04,66.53,-3.48,0,2025-08-12 18:23:06,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,25,5e-06,0.4,0.0005,58.75,61.68,-2.93,1,2025-08-12 18:23:08,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,25,5e-06,0.3,0.002,63.42,67.37,-3.95,0,2025-08-12 18:23:14,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,25,5e-06,0.3,0.002,60.05,65.11,-5.06,1,2025-08-12 18:23:21,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,14,5e-06,0.3,0.001,59.07,63.26,-4.19,1,2025-08-12 18:24:31,.,5e-06,0.3,0.001,True
lr5e-6_dr0.4_wd5e-4,26,5e-06,0.4,0.0005,62.93,66.36,-3.44,0,2025-08-12 18:25:04,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,26,5e-06,0.4,0.0005,58.49,62.49,-4.0,1,2025-08-12 18:25:05,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd5e-4,14,5e-06,0.3,0.0005,62.76,66.0,-3.24,0,2025-08-12 18:25:09,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,14,5e-06,0.3,0.0005,58.48,63.6,-5.12,1,2025-08-12 18:25:10,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd2e-3,26,5e-06,0.3,0.002,63.54,66.81,-3.26,0,2025-08-12 18:25:13,.,5e-06,0.3,0.002,False
